Executable,Chunk Size,Run,Time Elapsed
integration_reduction_static,1,1,7.660674
integration_reduction_static,1,2,7.443765
integration_reduction_static,1,3,7.405199
integration_reduction_static,1,4,7.408109
integration_reduction_static,1,5,8.014505
integration_reduction_static,1,6,8.704205
integration_reduction_static,1,7,8.644646
integration_reduction_static,1,8,8.650786
integration_reduction_static,1,9,8.633819
integration_reduction_static,1,10,8.650475
integration_reduction_static,10,1,8.626457
integration_reduction_static,10,2,8.646561
integration_reduction_static,10,3,8.648266
integration_reduction_static,10,4,8.648286
integration_reduction_static,10,5,8.650323
integration_reduction_static,10,6,8.667389
integration_reduction_static,10,7,8.669991
integration_reduction_static,10,8,8.661859
integration_reduction_static,10,9,9.590043
integration_reduction_static,10,10,11.082517
integration_reduction_static,100,1,12.932901
integration_reduction_static,100,2,12.956095
integration_reduction_static,100,3,12.862340
integration_reduction_static,100,4,12.933871
integration_reduction_static,100,5,12.948566
integration_reduction_static,100,6,12.828553
integration_reduction_static,100,7,12.946568
integration_reduction_static,100,8,12.830037
integration_reduction_static,100,9,12.923842
integration_reduction_static,100,10,12.855901
integration_reduction_static,1000,1,31.567688
integration_reduction_static,1000,2,30.160583
integration_reduction_static,1000,3,29.339293
integration_reduction_static,1000,4,28.984025
integration_reduction_static,1000,5,29.006028
integration_reduction_static,1000,6,27.403079
integration_reduction_static,1000,7,28.928068
integration_reduction_static,1000,8,29.860221
integration_reduction_static,1000,9,28.418006
integration_reduction_static,1000,10,29.326176
integration_reduction_static,10000,1,52.532815
integration_reduction_static,10000,2,52.592411
integration_reduction_static,10000,3,52.538379
integration_reduction_static,10000,4,52.586167
integration_reduction_static,10000,5,52.628729
integration_reduction_static,10000,6,52.619123
integration_reduction_static,10000,7,52.449627
integration_reduction_static,10000,8,52.364045
integration_reduction_static,10000,9,52.429021
integration_reduction_static,10000,10,52.576804
integration_reduction_static,1000000,1,52.377125
integration_reduction_static,1000000,2,52.580672
integration_reduction_static,1000000,3,52.522399
integration_reduction_static,1000000,4,52.603345
integration_reduction_static,1000000,5,52.363351
integration_reduction_static,1000000,6,52.556149
integration_reduction_static,1000000,7,52.528796
integration_reduction_static,1000000,8,52.706250
integration_reduction_static,1000000,9,53.681036
integration_reduction_static,1000000,10,52.329378
integration_reduction_static,10000000,1,52.477122
integration_reduction_static,10000000,2,52.408214
integration_reduction_static,10000000,3,52.366320
integration_reduction_static,10000000,4,52.795008
integration_reduction_static,10000000,5,52.498716
integration_reduction_static,10000000,6,52.423083
integration_reduction_static,10000000,7,52.523910
integration_reduction_static,10000000,8,52.529546
integration_reduction_static,10000000,9,52.418903
integration_reduction_static,10000000,10,52.988046
integration_reduction_dynamic,1,1,7.388384
integration_reduction_dynamic,1,2,7.530960
integration_reduction_dynamic,1,3,7.646085
integration_reduction_dynamic,1,4,7.963498
integration_reduction_dynamic,1,5,9.005572
integration_reduction_dynamic,1,6,9.364430
integration_reduction_dynamic,1,7,11.104844
integration_reduction_dynamic,1,8,11.066621
integration_reduction_dynamic,1,9,11.071073
integration_reduction_dynamic,1,10,11.048205
integration_reduction_dynamic,10,1,11.112526
integration_reduction_dynamic,10,2,12.052757
integration_reduction_dynamic,10,3,11.255285
integration_reduction_dynamic,10,4,11.085826
integration_reduction_dynamic,10,5,11.100167
integration_reduction_dynamic,10,6,11.117088
integration_reduction_dynamic,10,7,11.098672
integration_reduction_dynamic,10,8,11.103857
integration_reduction_dynamic,10,9,11.119288
integration_reduction_dynamic,10,10,11.091317
integration_reduction_dynamic,100,1,12.827295
integration_reduction_dynamic,100,2,12.841667
integration_reduction_dynamic,100,3,12.846440
integration_reduction_dynamic,100,4,12.850955
integration_reduction_dynamic,100,5,12.858877
integration_reduction_dynamic,100,6,12.843995
integration_reduction_dynamic,100,7,12.842035
integration_reduction_dynamic,100,8,12.854918
integration_reduction_dynamic,100,9,12.838445
integration_reduction_dynamic,100,10,12.850184
integration_reduction_dynamic,1000,1,30.049720
integration_reduction_dynamic,1000,2,30.029780
integration_reduction_dynamic,1000,3,31.366994
integration_reduction_dynamic,1000,4,29.862988
integration_reduction_dynamic,1000,5,29.239315
integration_reduction_dynamic,1000,6,29.011115
integration_reduction_dynamic,1000,7,29.546323
integration_reduction_dynamic,1000,8,29.852024
integration_reduction_dynamic,1000,9,29.401427
integration_reduction_dynamic,1000,10,30.123759
integration_reduction_dynamic,10000,1,52.428784
integration_reduction_dynamic,10000,2,52.584245
integration_reduction_dynamic,10000,3,52.415507
integration_reduction_dynamic,10000,4,52.471034
integration_reduction_dynamic,10000,5,52.437151
integration_reduction_dynamic,10000,6,52.573447
integration_reduction_dynamic,10000,7,52.337675
integration_reduction_dynamic,10000,8,52.376425
integration_reduction_dynamic,10000,9,52.627280
integration_reduction_dynamic,10000,10,52.385399
integration_reduction_dynamic,1000000,1,52.464502
integration_reduction_dynamic,1000000,2,52.382171
integration_reduction_dynamic,1000000,3,52.607465
integration_reduction_dynamic,1000000,4,52.605423
integration_reduction_dynamic,1000000,5,52.371417
integration_reduction_dynamic,1000000,6,52.300610
integration_reduction_dynamic,1000000,7,52.397948
integration_reduction_dynamic,1000000,8,52.407486
integration_reduction_dynamic,1000000,9,52.407737
integration_reduction_dynamic,1000000,10,52.404756
integration_reduction_dynamic,10000000,1,52.386075
integration_reduction_dynamic,10000000,2,52.498976
integration_reduction_dynamic,10000000,3,52.394195
integration_reduction_dynamic,10000000,4,52.360358
integration_reduction_dynamic,10000000,5,52.445449
integration_reduction_dynamic,10000000,6,52.678071
integration_reduction_dynamic,10000000,7,52.579323
integration_reduction_dynamic,10000000,8,52.587409
integration_reduction_dynamic,10000000,9,52.365182
