Executable, Run, Time Elapsed
integration_reduction_baseline,1,8.169234
integration_reduction_baseline,2,9.333215
integration_reduction_baseline,3,12.278564
integration_reduction_baseline,4,12.141534
integration_reduction_baseline,5,12.118106
integration_reduction_baseline,6,12.182870
integration_reduction_baseline,7,12.089884
integration_reduction_baseline,8,12.152499
integration_reduction_baseline,9,12.120701
integration_reduction_baseline,10,12.093365
integration_reduction_static_nochunks,1,12.099533
integration_reduction_static_nochunks,2,12.084446
integration_reduction_static_nochunks,3,12.138446
integration_reduction_static_nochunks,4,12.106965
integration_reduction_static_nochunks,5,12.134913
integration_reduction_static_nochunks,6,12.105500
integration_reduction_static_nochunks,7,12.102826
integration_reduction_static_nochunks,8,12.113802
integration_reduction_static_nochunks,9,12.122387
integration_reduction_static_nochunks,10,12.122992
integration_reduction_dynamic_nochunks,1,12.041317
integration_reduction_dynamic_nochunks,2,12.057301
integration_reduction_dynamic_nochunks,3,12.044359
integration_reduction_dynamic_nochunks,4,12.057442
integration_reduction_dynamic_nochunks,5,12.052792
integration_reduction_dynamic_nochunks,6,13.116855
integration_reduction_dynamic_nochunks,7,12.437779
integration_reduction_dynamic_nochunks,8,12.018583
integration_reduction_dynamic_nochunks,9,11.974597
integration_reduction_dynamic_nochunks,10,12.053188
integration_reduction_guided_nochunks,1,11.998811
integration_reduction_guided_nochunks,2,11.968340
integration_reduction_guided_nochunks,3,12.068224
integration_reduction_guided_nochunks,4,12.133274
integration_reduction_guided_nochunks,5,13.267055
integration_reduction_guided_nochunks,6,12.050352
integration_reduction_guided_nochunks,7,12.064407
integration_reduction_guided_nochunks,8,12.060142
integration_reduction_guided_nochunks,9,12.099348
integration_reduction_guided_nochunks,10,12.062882
integration_reduction_auto,1,12.122648
integration_reduction_auto,2,12.116593
integration_reduction_auto,3,12.124057
integration_reduction_auto,4,12.110785
integration_reduction_auto,5,12.128143
integration_reduction_auto,6,12.093588
integration_reduction_auto,7,12.096165
integration_reduction_auto,8,12.110193
integration_reduction_auto,9,12.085405
integration_reduction_auto,10,12.112612
